CID,Annotator,Sentence,Sno.,Preprocessed,TripletOutput
4245,Magda,"A: %um but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just &Japan",1,"but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just Japan","[('AUTHOR', 'solicit', 'true'), ('AUTHOR', 'trying', 'true'), ('AUTHOR', 'solicit', 'true')]"
4245,Magda,B: mhm.,2,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: although they’ve had most interest in &Japan.,3,although they’ve had most interest in Japan.,"[('AUTHOR', 'interest', 'true')]"
4245,Magda,B: mhm.,4,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: And I teach probably two classes and then do administrative work to make connections for these people to have tours,5,And I teach probably two classes and then do administrative work to make connections for these people to have tours,"[('AUTHOR', 'make', 'connections')]"
4245,Magda,A: or to go look at companies dealing with certain issues that they’re working on in their classes. {breath} Half of their classes are business half are English Eng- English business,6,or to go look at companies dealing with certain issues that they’re working on in their classes. Half of their classes are business half are English English business,"[('AUTHOR', 'working', 'true')]"
4245,Magda,B: mhm [distorted],7,mhm,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,B: mhm.,8,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,B: mhm.,9,mhm.,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,A: mhm,10,mhm,"[('AUTHOR', 'mhm', 'true')]"
4245,Magda,B: (( )),11,,"[('AUTHOR', 'restriction', 'true')]"
4245,Magda,A: So it’s really groovy because I ((mean)) I have all these contacts for them because of my experience in the business world here.,12,So it’s really groovy because I mean I have all these contacts for them because of my experience in the business world here.,"[('AUTHOR', 'have', 'true'), ('AUTHOR', 'have', 'true')]"
4245,Magda,B: yeah. yeah.,13,yeah. yeah.,"[('AUTHOR', 'yeah', 'true')]"
4245,Magda,A: And you know and I do a little teaching for them too.,14,And you know and I do a little teaching for them too.,"[('AUTHOR', 'know', 'true'), ('AUTHOR', 'do', 'true'), ('AUTHOR', 'teaching', 'true')]"
4245,Magda,B: okay. What classes did you teach at (( )) that would be related?,15,okay. What classes did you teach at that would be related?,"[('AUTHOR', 'teach', 'true')]"
